Age Range,Gender,Value,source
>=75,Masculino,1092,annotated
>=75,Feminino,1108,annotated
70-74,Masculino,1574,annotated
70-74,Feminino,1470,annotated
65-69,Masculino,2670,annotated
65-69,Feminino,2694,annotated
60-64,Masculino,3613,annotated
60-64,Feminino,3991,annotated
55-59,Masculino,4573,annotated
55-59,Feminino,5571,annotated
50-54,Masculino,6679,annotated
50-54,Feminino,6835,annotated
45-49,Masculino,10833,annotated
45-49,Feminino,9290,annotated
40-44,Masculino,17937,annotated
40-44,Feminino,13769,annotated
35-39,Masculino,25650,annotated
35-39,Feminino,18189,annotated
30-34,Masculino,30816,annotated
30-34,Feminino,22334,annotated
25-29,Masculino,33007,annotated
25-29,Feminino,25114,annotated
20-24,Masculino,22171,annotated
20-24,Feminino,19249,annotated
15-19,Masculino,8507,annotated
15-19,Feminino,8478,annotated
10-14,Masculino,4989,annotated
10-14,Feminino,4570,annotated
5-9,Masculino,3747,annotated
5-9,Feminino,3444,annotated
0-4,Masculino,2543,annotated
0-4,Feminino,2471,annotated
