ANO,Titulos_Residencia,Concessao_APs,Prorrogacao_VLDs,TOTAL,Variacao_Percentual
1980,50 750,,,50750,
1981,54 414,,,54 414,"7,22%"
1982,58 667,,,58 667,"7,82%"
1983,67 485,,,67 485,"15,03%"
1984,73 365,,,73 365,"8,71%"
1985,79 594,,,79 594,"8,49%"
1986,86 982,,,86 982,"9,28%"
1987,89 778,,,89 778,"3,21%"
1988,94 694,,,94 694,"5,48%"
1989,101 011,,,101 011,"6,67%"
1990,107 767,,,107 767,"6,69%"
1991,113 978,,,113 978,"5,76%"
1992,123 612,,,123 612,"8,45%"
1993,136 932,,,136 932,"10,78%"
1994,157 073,,,157 073,"14,71%"
1995,168 316,,,168 316,"7,16%"
1996,172 912,,,172 912,"2,73%"
1997,175 263,,,175 263,"1,36%"
1998,178 137,,,178 137,"1,64%"
1999,191 143,,,191 143,"7,30%"
2000,207 587,,,207 587,"8,60%"
2001,223 997,126 901,,350 898,"69,04%"
2002,238 929,174 558,,413 487,"84,59%"
2003,249 995,183 655,,433 650,"81,50%"
2004,263 322,183 833,,447 155,"78,87%"
2005,274 631,93 391,46 637,414 659,"57,47%"
2006,332 137,32 661,55 391,420 189,"53,00%"
2007,401 612,5 741,28 383,435 736,"31,19%"
2008,436 020,,4 257,440 277,"9,63%"
2009,451 742,,2 449,454 191,"4,17%"
2010,443 055,,2 207,445 262,"-1,43%"
2011,434 708,,2 114,436 822,"-1,41%"
2012,414 610,,2 432,417 042,"-4,06%"
2013,398 268,,3 052,401 320,"-3,21%"
2014,390 113,,5 082,395 195,"-0,77%"
2015,383 759,,4 972,388 731,"-0,35%"
2016,392 969,,4 762,397 731,"3,64%"
2017,416 682,,5 029,421 711,"7,31%"
2018,477 472,,2 828,480 300,"15,27%"
2019,588 976,,1 372,590 348,"23,64%"
2020,661 607,,488,662 095,"12,41%"
2021,698 536,,351,698 887,"5,63%"
2022,781 247,,668,781 915,"11,94%"
2023,1 044 238,,368,1 044 606,"33,71%"
