Nacionalidade,Stock_Total,Stock_Homens,Stock_Mulheres,Fluxos_Total,Fluxos_Homens,Fluxos_Mulheres
Afeganistão,598,315,283,526,257,269
África do Sul,1748,865,883,405,219,186
Albânia,91,51,40,6,4,2
Alemanha,18340,9720,8620,3935,2128,1807
Andorra,11,6,5,2,0,2
Angola,25802,11130,14672,4597,2097,2500
Antígua e Barbuda,12,7,5,1,1,0
Apátrida,24,13,11,0,0,0
Arábia Saudita,97,58,39,11,7,4
Argélia,750,465,285,172,122,50
Argentina,813,387,426,212,107,105
Arménia,82,30,52,14,4,10
Austrália,548,311,237,80,58,22
Áustria,1467,768,699,282,148,134
Azerbaijão,52,22,30,12,7,5
Bahamas,4,2,2,4,2,2
Bahrein,12,8,4,3,3,0
Bangladesh,10936,8546,2390,2132,1738,394
Barbados,4,2,2,0,0,0
Bélgica,5657,3147,2510,959,546,413
Belize,4,1,3,0,0,0
Benin,14,13,1,4,3,1
Bermudas,2,1,1,1,1,0
Bielorrússia,594,201,393,82,35,47
Bolívia,137,45,92,19,7,12
Bósnia e Herzegovina,61,19,42,8,2,6
Botswana,12,4,8,5,1,4
Brasil,204694,92708,111986,39456,18900,20556
Brunei,5,2,3,1,1,0
Bulgária,6491,3199,3292,236,109,127
Burkina Faso,27,20,7,0,0,0
Burundi,10,4,6,0,0,0
Butão,7,3,4,1,0,1
Cabo Verde,34093,16455,17638,3889,1775,2114
Camarões,249,154,95,63,44,19
Cambodja,46,18,28,6,2,4
Canadá,1271,678,593,245,129,116
Cazaquistão,709,346,363,100,55,45
Chade,3,2,1,2,1,1
Chile,409,195,214,96,48,48
China,22782,11495,11287,1356,654,702
Chipre,126,74,52,44,24,20
Colômbia,1690,743,947,395,232,163
Comores,3,1,2,2,1,1
Congo,83,31,52,13,5,8
Congo (Rep. Democrática),247,130,117,23,11,12
Coreia do Sul,226,90,136,31,15,16
Costa do Marfim,189,118,71,28,18,10
Costa Rica,94,42,52,25,10,15
Croácia,429,209,220,80,32,48
Cuba,1264,596,668,200,125,75
Desconhecido,22,13,9,1,1,0
Dinamarca,1528,904,624,343,197,146
Djibuti,3,3,0,1,1,0
Dominica,20,14,6,3,1,2
Egipto,573,337,236,110,70,40
El Salvador,55,31,24,12,8,4
Emiratos Árabes Unidos,20,13,7,2,2,0
Equador,469,230,239,176,99,77
Eritreia,209,159,50,12,5,7
Eslováquia,393,124,269,117,43,74
Eslovénia,251,100,151,75,31,44
Espanha,18546,9467,9079,3583,1877,1706
Estados Unidos da América,6885,3351,3534,2475,1179,1296
Estónia,316,105,211,70,24,46
Etiópia,60,27,33,18,11,7
Fidji (Ilhas),3,2,1,1,1,0
Filipinas,1107,293,814,137,34,103
Finlândia,1157,542,615,193,98,95
França,26719,14066,12653,4754,2433,2321
Gabão,27,12,15,3,0,3
Gâmbia,274,228,46,70,63,7
Gana,212,152,60,54,36,18
Geórgia,467,246,221,71,50,21
Granada,2,2,0,1,1,0
Grécia,794,410,384,203,115,88
Guatemala,79,38,41,19,9,10
Guiana,11,6,5,2,0,2
Guiné,1204,825,379,112,81,31
Guiné Bissau,20357,10888,9469,3746,2159,1587
Guiné Equatorial,44,17,27,10,4,6
Haiti,14,12,2,5,4,1
Honduras,58,25,33,20,12,8
Hong Kong,194,90,104,122,54,68
Hungria,1059,399,660,217,102,115
Iémen,44,27,17,2,2,0
Índia,30251,24177,6074,7407,6152,1255
Indonésia,717,571,146,217,187,30
Irão,1431,799,632,338,187,151
Iraque,578,306,272,96,51,45
Irlanda,3327,1935,1392,875,517,358
Islândia,134,76,58,29,18,11
Israel,401,216,185,111,60,51
Itália,30819,17642,13177,5302,2849,2453
Jamaica,17,9,8,3,1,2
Japão,483,194,289,90,41,49
Jordânia,385,199,186,44,25,19
Kosovo,26,13,13,3,2,1
Kuwait,33,20,13,5,2,3
Laos,2,0,2,0,0,0
Lesoto,2,0,2,0,0,0
Letónia,592,190,402,122,57,65
Líbano,567,317,250,111,66,45
Libéria,15,12,3,2,2,0
Líbia,140,73,67,13,9,4
Liechtenstein,8,4,4,3,2,1
Lituânia,896,265,631,168,62,106
Luxemburgo,472,257,215,122,63,59
Macau,3,0,3,1,0,1
Macedónia,57,20,37,10,4,6
Madagáscar,16,4,12,4,1,3
Malásia,105,36,69,16,5,11
Malawi,20,7,13,5,4,1
Maldivas,7,1,6,1,0,1
Mali,65,57,8,6,5,1
Malta,109,59,50,32,16,16
Marrocos,2136,1206,930,429,277,152
Maurícias (Ilhas),27,12,15,10,5,5
Mauritânia,23,21,2,3,3,0
México,699,289,410,148,69,79
Moçambique,3803,1608,2195,750,360,390
Moldávia,5177,2430,2747,538,296,242
Mongólia,24,5,19,3,0,3
Montenegro,19,11,8,4,3,1
Myanmar (Birmânia),6,2,4,5,1,4
Namíbia,34,12,22,7,3,4
Nepal,21545,13607,7938,2759,1820,939
Nicarágua,48,19,29,15,5,10
Níger,8,6,2,7,5,2
Nigéria,866,591,275,186,130,56
Noruega,1052,623,429,186,117,69
Nova Zelândia,104,52,52,21,13,8
Oman,8,5,3,0,0,0
Países Baixos,11013,5875,5138,1850,973,877
Palestina,61,36,25,10,7,3
Panamá,64,18,46,8,4,4
Paquistão,7499,5341,2158,2006,1451,555
Paraguai,149,40,109,21,8,13
Peru,466,177,289,113,59,54
Polónia,3651,1237,2414,950,380,570
Qatar,1,1,0,0,0,0
Quénia,107,41,66,21,6,15
Quirguistão,33,13,20,2,2,0
Reino Unido,41932,23312,18620,417,242,175
Reino Unido (British Subject),12,5,7,4,1,3
República Centro-Africana,8,4,4,0,0,0
República Checa,620,239,381,144,68,76
República Dominicana,171,57,114,28,11,17
Roménia,28911,15423,13488,1039,569,470
Ruanda,27,10,17,3,3,0
Rússia,5156,1951,3205,608,279,329
Santa Lúcia,3,1,2,1,1,0
São Cristóvão e Nevis,46,30,16,11,8,3
São Tomé e Príncipe,11234,5104,6130,1980,955,1025
Senegal,1673,1222,451,300,233,67
Serra Leoa,106,69,37,17,14,3
Sérvia,274,118,156,56,28,28
Seychelles,8,5,3,0,0,0
Singapura,93,32,61,22,9,13
Síria,1191,665,526,184,109,75
Somália,61,45,16,7,7,0
Sri Lanka,106,64,42,31,21,10
Suazilândia,10,5,5,5,3,2
Sudão,171,98,73,35,19,16
Sudão do Sul,64,31,33,11,6,5
Suécia,5486,3018,2468,811,463,348
Suíça,3179,1659,1520,576,295,281
Suriname,4,3,1,0,0,0
Tailândia,1795,1089,706,184,101,83
Taiwan,46,15,31,10,2,8
Tajiquistão,34,13,21,4,2,2
Tanzânia,37,20,17,8,3,5
Timor Leste,234,98,136,53,25,28
Togo,50,35,15,16,11,5
Trindade e Tobago,17,13,4,4,3,1
Tunísia,550,307,243,148,83,65
Turquemenistão,13,6,7,1,0,1
Turquia,1363,681,682,215,106,109
Ucrânia,27195,12407,14788,1158,566,592
Uganda,43,22,21,9,6,3
Uruguai,226,122,104,50,34,16
Uzbequistão,1201,729,472,121,90,31
Vanuatu,4,4,0,1,1,0
Venezuela,8296,3440,4856,1231,573,658
Vietname,640,303,337,98,44,54
Zâmbia,29,12,17,8,6,2
Zimbabwe,72,31,41,10,5,5
